ID,Título,Artista,YouTube ID,Vistas
"fe954002-04fd-430a-8809-6579acd5a0fe","hermetica del camionero","Sifu Eze","p_--LQFdZWA",2484272
"6a61e951-5cfd-493d-b4af-f1650aa23154","Despacito Luis Fonsi ft Daddy Yankee","Yusceglys Music BBay","sPWBxEmEITk",58385192
"ff16e9c4-1568-45ae-acfc-365ccc012d3c","TREINTAYOCHO","EL REY , JERE KLEIN","jn3xT_ZCqyU",9479947
"a9ed19d2-39ba-453e-9899-3d27a738e4ce","El 38","Piti Fernández -","Bh5NXamxUtM",17333
"49ca55bc-f9f1-4ce3-a6a1-979544e40770","el 38 (mocho ).wmv","el judas","SeV5J3YMjv8",1649017
"96076083-5f23-4616-bc61-026a9051982a","You Are My High","DEMON","92rpyUVr1uk",65016473
"129ec5b3-5d26-443b-83a6-dda839990088","Kiss the Girl","Ashley Tisdale -","pyFI0Qu8Bo0",1639213
"230b703c-b868-464b-a63b-7f687c245fcd","Girls Kiss Girls","Pittsburgh Slim","0t63oWosHA0",114077506
"318a133c-7fc7-4867-8ea3-720cd9fa2909","Song For Lovers","Alex Angel","0qbM8AKVLOk",9454537
"d04efb43-f809-4fd2-8e3b-3c92d23e058b","Sexy Girl (7X) XXX.xxxx)","Nubel Feliz Yan","CPd5Vhbwuyw",2575343
"2f342bd2-d935-49bf-b4da-324492535c05","[Eng Sub]","Alin & Jane | I’m Afraid To Love","FoPyvLqh2GQ",356646
"306839a4-e769-458c-b520-62eb3d582e4f","Vampire Blues – Official (Short Version)","Dead Day Revolution","dbvU0YzCZFg",135279299
"a59fb4c2-b4f2-48db-b95f-12e3ac4ede39","Master Of The Night","Alex Angel","g65tDO3xEnc",85511905
"20ec6a9a-9b7d-46de-90b2-097926123b78","Mistress","Jon Nguyen","16pZjvQfo20",197275367
"75d96d81-11d1-4f3a-9860-ec4c05df5f2e","Animal","Alvaro Soler","YfDhHUuGMuo",59971748
"115f0563-02cc-462f-8c28-a76aad802cdc","Animal I Have Become","Three Days Grace","xqds0B_meys",305106888
"09ac7f7d-f2c7-49f1-9831-fd464de1bb5e","Animals","Nickelback -","0fZyNUikfEM",20636949
"d35d1013-0427-4e63-84ff-ae6daa67708a","Animals","Maroon 5","0GVExpdmoDs",235849975
"e9edeeff-105c-44b1-b8cf-d6b5f714013a","Indio Solari y LFDAA","Había una vez (Pajaritos, Bravos Muchachitos)","zgdl59zOANQ",16567778
"00ab90e2-a452-44c8-8bb3-bab794422f15","Estadio Único de La Plata - Indio en Concierto Full","Un poco de amor francés","CyPyRXyVIG4",33334966
"0c53edb7-6d3b-4023-b933-9be108403a1c","Motor Psico","Los Redondos","8Rg7yxEt0uk",2718416
"abd90a95-25fd-457f-8067-746cabc8f9b4","02 Preso en mi ciudad (Oktubre)","Los Redondos","M1SRTiAabzA",408623
"9f7a5093-9226-44ec-a5c2-d7dd2a35cc86","Estadio Único de La Plata - Indio en Concierto Full","Un ángel para tu soledad","Ei4LG0ANTO8",31992678
"feda40ef-4ce5-412f-959c-ca1338f7adc5","Estadio Único de La Plata -Indio en Concierto FullHD","El infierno está encantador esta noche","VhQr8pjYdDQ",39457727
"f77f8889-362a-4778-a637-bd13531a4749","Estadio Único de La Plata - Indio en Concierto Full","Ji Ji Ji","tVvTDVswTxQ",113946358
"42930653-b3f7-4da0-ac4f-05a376436a29","17/12/94 - Estadio de Huracán - Patricio Rey y sus Redonditos de Ricota","La hija del fletero","9I2POleMeRY",8232264
